model_url,downloads,downloadsAllTime,organization,model_name,date
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,5042,83457,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2024-10-01
taide/TAIDE-LX-7B-Chat,6130,54500,taide,TAIDE-LX-7B-Chat,2024-10-01
taide/TAIDE-LX-7B-Chat-4bit,107,1934,taide,TAIDE-LX-7B-Chat-4bit,2024-10-01
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,301,3244,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2024-10-01
taide/b.1.0.0,0,828,taide,b.1.0.0,2024-10-01
taide/b.11.0.0,0,1421,taide,b.11.0.0,2024-10-01
taide/e.1.1.0,0,69,taide,e.1.1.0,2024-10-01
taide/a.2.0.0,0,131,taide,a.2.0.0,2024-10-01
taide/TAIDE-LX-7B,215,8805,taide,TAIDE-LX-7B,2024-10-01
taide/llava_llama3_8b_clip336_e,81,115,taide,llava_llama3_8b_clip336_e,2024-10-01
